,block,experiment,label_fraction,linear_accuracy,linear_accuracy,linear_auroc,linear_auroc,linear_auprc,linear_auprc
,,,,mean,std,mean,std,mean,std
98,ablation,wavkan_mae_s42,0.1,0.73431452134731,0.0003806795300500195,0.8120680003179329,0.0007167341347857049,0.8607951903753962,0.0008817085178185924
99,ablation,wavkan_mae_s42,0.25,0.7611030718008447,0.001425100992142833,0.8322304866102718,0.0009461372003743223,0.8756110510005094,0.0007653934985990458
100,ablation,wavkan_mae_s42,0.5,0.7730208590689301,0.0011539747096510334,0.8439545578122302,0.0006284303571910091,0.8847793538893485,0.00030283367941022976
101,ablation,wavkan_mae_s42,1.0,0.7823386157484206,0.0,0.8539497601308889,0.0,0.8922735512847533,0.0
102,ablation,wavkan_mae_s456,0.01,0.6268897281144484,0.013129961548308615,0.7463523967849294,0.007884600384868825,0.8129108442883934,0.006482935945221291
103,ablation,wavkan_mae_s456,0.05,0.7361380722126142,0.002997335085668625,0.8197998767153475,0.003698151925730828,0.8649334680717392,0.003052655082683221
104,ablation,wavkan_mae_s456,0.1,0.7602324733232155,0.0015263950373495603,0.8362407694226217,0.0005206806296607512,0.8781960637798226,0.00018490990437167816
105,ablation,wavkan_mae_s456,0.25,0.7774797350557066,0.0009400103227302902,0.8500864536412941,0.0009514997028427988,0.8903494372410464,0.0007229500824388905
106,ablation,wavkan_mae_s456,0.5,0.7828209743644043,0.00032794173730907176,0.8554410359021615,0.000759051120251425,0.8951662968029751,0.0007163404147116444
107,ablation,wavkan_mae_s456,1.0,0.7878798574100871,0.0,0.8601867526727899,0.0,0.8990764444792095,0.0
108,baselines,simclr_naive_s42,0.01,0.6274309109518935,0.007322148363069308,0.6633549670869298,0.006280894252418515,0.7155697388047232,0.004369380138002983
109,baselines,simclr_naive_s42,0.05,0.6651490017529618,0.003673740998378901,0.7159652863614946,0.0031435874046567055,0.764646618755211,0.003234660690295099
110,baselines,simclr_naive_s42,0.1,0.6731961552488853,0.0012579584172173089,0.726012946112169,0.0009425383471751494,0.7744713744782848,0.0010131117056199853
111,baselines,simclr_naive_s42,0.25,0.6788903398863516,0.0007764797232908405,0.7334174657681011,0.00044226545031563565,0.7803564296653734,0.0002702098281923596
112,baselines,simclr_naive_s42,0.5,0.6813962517206086,0.00036848574132318095,0.7362274274986828,0.00018006892920427025,0.7828249722227915,0.0003458671378193179
113,baselines,simclr_naive_s42,1.0,0.6821727314438993,0.0,0.736952910758314,0.0,0.7831921321628496,0.0
114,loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,0.01,0.81162131319192,0.00875605600468934,0.892793502816148,0.003983483075535879,0.9282428749730175,0.0035409978400292386
115,loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,0.05,0.8222920269650231,0.0027842442977126145,0.9021543740137338,0.0015382017582493976,0.9350542641762551,0.0009503536680632993
116,loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,0.1,0.8239508700102354,0.0025419415635521588,0.9042125931772884,0.00046419289517397557,0.9361573849659347,0.0001307144545888256
117,loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,0.25,0.8259744232285086,0.0016839351694021836,0.906058458823285,0.000924214012926949,0.9373854401885633,0.00035946243484564697
118,loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,0.5,0.8254214755467711,0.0016630929703097717,0.9073120514078891,0.00041000768361115563,0.9381747115352415,0.00024089333775413626
119,loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,1.0,0.82603324744997,0.0,0.9077671492872778,0.0,0.9385049688066299,0.0
120,loo_ablation,resnet1d_hybrid_loo_baseline_wander_s42,0.01,0.811127189731644,0.007585642804553218,0.8925026348022419,0.005504423207141348,0.9287735606148249,0.0034256717431375284
121,loo_ablation,resnet1d_hybrid_loo_baseline_wander_s42,0.05,0.8204214167225498,0.002688646612689601,0.9010739303836819,0.0014564010559826558,0.934233319411261,0.0004925668039558607
122,loo_ablation,resnet1d_hybrid_loo_baseline_wander_s42,0.1,0.8221861433663925,0.0003977491853875264,0.9030171140324028,0.0003033484500580651,0.9352878321332722,0.0006058259837233341
123,loo_ablation,resnet1d_hybrid_loo_baseline_wander_s42,0.25,0.8243273450275885,0.0006003529840196474,0.9046935679717252,0.0008956423439149544,0.9362836418216839,0.0005977134636672518
124,loo_ablation,resnet1d_hybrid_loo_baseline_wander_s42,0.5,0.8251979435052177,0.0004210762519128996,0.9059624171612409,0.0003867934775726911,0.9371791597517999,0.00019290931815798214
125,loo_ablation,resnet1d_hybrid_loo_baseline_wander_s42,1.0,0.8251861786609255,0.0,0.906416927006175,0.0,0.9374982233263084,0.0
126,loo_ablation,resnet1d_hybrid_loo_constrained_time_warp_s42,0.01,0.8092918740220473,0.008787157397679404,0.8915337681606793,0.005271245674745962,0.9275799937703854,0.004076705776277976
127,loo_ablation,resnet1d_hybrid_loo_constrained_time_warp_s42,0.05,0.8201272956152424,0.0036703485995405803,0.9007979569765986,0.0009708692382039214,0.9345264348291215,0.0002847715555257778
128,loo_ablation,resnet1d_hybrid_loo_constrained_time_warp_s42,0.1,0.8211508370686714,0.0018958563821676539,0.9027027620297846,0.000378592329241504,0.9355276663376171,0.0008302371311856268
129,loo_ablation,resnet1d_hybrid_loo_constrained_time_warp_s42,0.25,0.8217390792832857,0.001591127231338472,0.9043867754409401,0.00042461595933750065,0.9363379759846349,0.0001200935334100727
130,loo_ablation,resnet1d_hybrid_loo_constrained_time_warp_s42,0.5,0.8226332074494994,0.0004817843793324891,0.9053848619564304,9.611179283609889e-05,0.9370167945289513,0.00010161407965621479
131,loo_ablation,resnet1d_hybrid_loo_constrained_time_warp_s42,1.0,0.8227861504252991,0.0,0.905582485720756,0.0,0.937168035659029,0.0
132,loo_ablation,resnet1d_hybrid_loo_emg_noise_injection_s42,0.01,0.8097859974823233,0.004850184587588801,0.8903425446177432,0.004402392795982691,0.9267998127836378,0.003581118338911589
133,loo_ablation,resnet1d_hybrid_loo_emg_noise_injection_s42,0.05,0.8200331768609043,0.0017854289866857387,0.9016791605973354,0.0012110545153955752,0.9349482266554082,0.0006397400107322573
134,loo_ablation,resnet1d_hybrid_loo_emg_noise_injection_s42,0.1,0.8221979082106848,0.0017676654079831807,0.9044458712041118,0.00047565350560626365,0.9365466313214316,0.00031166513509590607
135,loo_ablation,resnet1d_hybrid_loo_emg_noise_injection_s42,0.25,0.8234567465499594,0.0010523454287138516,0.9062054606388634,0.00038509999552255173,0.9375158500019926,0.00026529328174375354
136,loo_ablation,resnet1d_hybrid_loo_emg_noise_injection_s42,0.5,0.8237861621901436,0.0007934077012711924,0.9074122908881499,0.00034558571665381694,0.9382439770188693,0.0002082673640152242
137,loo_ablation,resnet1d_hybrid_loo_emg_noise_injection_s42,1.0,0.8242685208061271,0.0,0.9077446850114924,0.0,0.938416517491569,0.0
138,loo_ablation,resnet1d_hybrid_loo_heart_rate_resample_s42,0.01,0.8082330380357415,0.006073565970067725,0.8905550833831498,0.0053906424107027584,0.9275524756487483,0.004219487317707856
139,loo_ablation,resnet1d_hybrid_loo_heart_rate_resample_s42,0.05,0.8191978729161519,0.002559360688691255,0.9002031890175776,0.0017962642152117595,0.9345044616140571,0.0010397310571463034
