block,experiment,label_fraction,seed,n_labeled,linear_accuracy,linear_f1_macro,linear_auroc,linear_auprc,linear_sensitivity,linear_specificity,linear_ece,linear_brier_score,mahal_accuracy,mahal_f1_macro,mahal_auroc,mahal_auprc,mahal_sensitivity,mahal_specificity,mahal_ece,mahal_brier_score
loo_ablation,resnet1d_hybrid_loo_emg_noise_injection_s42,0.1,2,13290,0.8241979317403734,0.8222632885608498,0.903913501178625,0.936220649599486,0.768235077602601,0.8904587765957447,0.0148189827934229,0.2458576828180869,0.823809691878728,0.8223651676983976,0.9021563216654244,0.9313718786051646,0.7639408625237716,0.8977726063829787,0.2813767126939321,0.4389272020784415
loo_ablation,resnet1d_hybrid_loo_emg_noise_injection_s42,0.25,0,33225,0.8222920269650231,0.8203524284680488,0.9061544019130796,0.937362845586771,0.7788479234402798,0.8771609042553191,0.0133779311366902,0.2442438044146246,0.8231390957540677,0.8216556927759964,0.904322426456672,0.9327976135469452,0.7828354088706214,0.8766622340425532,0.2815172753327861,0.4396615335645629
loo_ablation,resnet1d_hybrid_loo_emg_noise_injection_s42,0.25,1,33225,0.8237391028129742,0.8217067432150631,0.906613542954224,0.9378221842396391,0.7843690571130606,0.874750664893617,0.0123872793549639,0.243251825738241,0.8244802880033882,0.8230784892142018,0.9049218876444404,0.9336334658868216,0.7740629409238697,0.8888796542553191,0.2829116751493953,0.4396456675580928
loo_ablation,resnet1d_hybrid_loo_emg_noise_injection_s42,0.25,2,33225,0.8243391098718809,0.8223096027640113,0.9058484370492867,0.9373625201795674,0.7785411937917919,0.8807347074468085,0.0142328298123607,0.2436027112061613,0.8247626442664031,0.8232442735719897,0.9037274061187016,0.9329357927226648,0.7759646647444942,0.8858876329787234,0.2827205507536275,0.4391518679639775
loo_ablation,resnet1d_hybrid_loo_emg_noise_injection_s42,0.5,0,66450,0.8235979246814669,0.821631364200033,0.9076506980709969,0.9383457467593688,0.7654131648365131,0.8962765957446809,0.0131842326022262,0.2418000839840308,0.8244802880033882,0.8230378527221005,0.9052645213850932,0.9336791387926024,0.77430832464266,0.8888796542553191,0.2830216128782628,0.4397346773346151
loo_ablation,resnet1d_hybrid_loo_emg_noise_injection_s42,0.5,1,66450,0.8246567606677726,0.8226592445739214,0.9075702172282212,0.9383817916050388,0.7761487025335869,0.8849734042553191,0.0110608125162852,0.241558119455032,0.8253979458581866,0.8239448957784165,0.905487389842452,0.9340214228068204,0.786700202441568,0.8765791223404256,0.2841289474194846,0.4399457434687107
loo_ablation,resnet1d_hybrid_loo_emg_noise_injection_s42,0.5,2,66450,0.8231038012211909,0.8211611101867229,0.9070159573652314,0.9380043926922006,0.7506287957794,0.907247340425532,0.0145605205352446,0.2426312358494374,0.8244802880033882,0.8230173113941486,0.904888316145596,0.933722995541151,0.7749831298693332,0.8866356382978723,0.2826035893202261,0.4392118637916093
loo_ablation,resnet1d_hybrid_loo_emg_noise_injection_s42,1.0,0,132900,0.8242685208061271,0.8222974318775563,0.9077446850114924,0.938416517491569,0.7759646647444942,0.8841422872340425,0.0118722532424939,0.2416458680484527,0.825292062259556,0.8238347116299197,0.9054780747648624,0.934037943560986,0.7756579350960063,0.8865525265957447,0.2836318901966115,0.4394279223356873
loo_ablation,resnet1d_hybrid_loo_emg_noise_injection_s42,1.0,1,132900,0.8242685208061271,0.8222974318775563,0.9077446850114924,0.938416517491569,0.7759646647444942,0.8841422872340425,0.0118722532424939,0.2416458680484527,0.825292062259556,0.8238347116299197,0.9054780747648624,0.934037943560986,0.7756579350960063,0.8865525265957447,0.2836318901966115,0.4394279223356873
loo_ablation,resnet1d_hybrid_loo_emg_noise_injection_s42,1.0,2,132900,0.8242685208061271,0.8222974318775563,0.9077446850114924,0.938416517491569,0.7759646647444942,0.8841422872340425,0.0118722532424939,0.2416458680484527,0.825292062259556,0.8238347116299197,0.9054780747648624,0.934037943560986,0.7756579350960063,0.8865525265957447,0.2836318901966115,0.4394279223356873
loo_ablation,resnet1d_hybrid_loo_segment_dropout_s42,0.01,0,1329,0.8028094448169979,0.7995223256465656,0.884876470344464,0.9225886453838158,0.7533893626157905,0.8604554521276596,0.0433850205290819,0.2768443263675305,0.8036565136060424,0.8014302816834344,0.8813010126687502,0.9131011167670444,0.7894607692779584,0.8236369680851063,0.2510767897342531,0.4290624489941695
loo_ablation,resnet1d_hybrid_loo_segment_dropout_s42,0.01,1,1329,0.808950693537571,0.8062909425916329,0.8936449971007521,0.9295278180258584,0.7381755720507944,0.8902925531914894,0.0333051621447366,0.2631762265924326,0.809691878727985,0.8075587376423519,0.888720336856863,0.9197306250858016,0.771486411876572,0.8566323138297872,0.2606333432214594,0.4319960369002736
loo_ablation,resnet1d_hybrid_loo_segment_dropout_s42,0.01,2,1329,0.8160448946458193,0.8144301021154966,0.8939320004026642,0.9291016388532102,0.7660266241334888,0.882313829787234,0.0428211785097245,0.2623806407929112,0.8129742702855328,0.8117314645191123,0.8882485080376221,0.9158803202200008,0.7870069320900558,0.8535571808510638,0.258320966381911,0.4260733000765599
loo_ablation,resnet1d_hybrid_loo_segment_dropout_s42,0.05,0,6645,0.8188331627430911,0.8166294891143151,0.900045551596169,0.9338395369953438,0.8033862953193056,0.840342420212766,0.0157861573849403,0.2519776085572593,0.8188684572759679,0.8172072531379341,0.9007118830084174,0.9312747662565226,0.7940617140052757,0.8535571808510638,0.2772753338081045,0.4399996239321821
loo_ablation,resnet1d_hybrid_loo_segment_dropout_s42,0.05,1,6645,0.8203861221896728,0.8185527730376798,0.901526689721424,0.9346596099638984,0.7689712287589718,0.8799867021276596,0.017178954364006,0.2506017468573979,0.8207390675184414,0.8193841280123768,0.9004761228303771,0.9299813032301608,0.7941844058646709,0.8597074468085106,0.2781367772633052,0.4388941465712843
